,method,nmi,ari,acc,prec,recall,f1
0,unsupervised_pretrain,0.6252512130055068,0.6036402772455681,0.8102678571428571,0.8135695737538793,0.8085592378176001,0.807319967890912
1,unsupervised,0.3657076727210469,0.3358246923237257,0.2611607142857143,0.2388387509303428,0.2588353894224036,0.24830423754529604
2,supervised,0.30231603293452397,0.1198251422882988,0.53125,0.6180555555555556,0.5520833333333334,0.5317884729649436
3,deepcluster,0.0940893094691601,0.03748125851582237,0.37723214285714285,0.3962837866364934,0.3803874939642685,0.31942355889724316
